Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
Sub-County Place,Redondo Beach city,01-01-2010,2010,January,N,Final,38600,35400,3200,0.082
Sub-County Place,Redway CDP,01-01-2010,2010,January,N,Final,400,400,0,0.099
Sub-County Place,Redwood City city,01-01-2010,2010,January,N,Final,41500,38000,3500,0.084
Sub-County Place,Reedley city,01-01-2010,2010,January,N,Final,11300,9300,2000,0.178
Sub-County Place,Rialto city,01-01-2010,2010,January,N,Final,43200,36000,7200,0.166
Sub-County Place,Richgrove CDP,01-01-2010,2010,January,N,Final,1200,900,300,0.234
Sub-County Place,Richmond city,01-01-2010,2010,January,N,Final,51900,45000,6900,0.134
Sub-County Place,Ridgecrest city,01-01-2010,2010,January,N,Final,13100,11600,1600,0.119
Sub-County Place,Ridgemark CDP,01-01-2010,2010,January,N,Final,2400,2200,200,0.077
Sub-County Place,Rio Dell city,01-01-2010,2010,January,N,Final,1500,1300,200,0.159
Sub-County Place,Rio del Mar CDP,01-01-2010,2010,January,N,Final,4400,3800,600,0.126
Sub-County Place,Rio Linda CDP,01-01-2010,2010,January,N,Final,7200,6300,900,0.126
Sub-County Place,Rio Vista city,01-01-2010,2010,January,N,Final,3100,2300,800,0.247
Sub-County Place,Ripon city,01-01-2010,2010,January,N,Final,6600,6000,500,0.08
Sub-County Place,Riverbank city,01-01-2010,2010,January,N,Final,11300,9300,2100,0.182
Sub-County Place,Riverdale CDP,01-01-2010,2010,January,N,Final,1600,1300,300,0.199
Sub-County Place,Riverside city,01-01-2010,2010,January,N,Final,141100,121600,19600,0.139
Sub-County Place,Rocklin city,01-01-2010,2010,January,N,Final,29800,26000,3700,0.126
Sub-County Place,Rodeo CDP,01-01-2010,2010,January,N,Final,4900,4300,600,0.122
Sub-County Place,Rohnert Park city,01-01-2010,2010,January,N,Final,21700,19000,2700,0.123
Sub-County Place,Rolling Hills city,01-01-2010,2010,January,N,Final,900,800,100,0.076
Sub-County Place,Rolling Hills Estates city,01-01-2010,2010,January,N,Final,3300,3100,200,0.064
Sub-County Place,Rollingwood CDP,01-01-2010,2010,January,N,Final,1300,1200,100,0.061
Sub-County Place,Romoland CDP,01-01-2010,2010,January,N,Final,700,600,100,0.094
Sub-County Place,Rosamond CDP,01-01-2010,2010,January,N,Final,7500,6500,1000,0.127
Sub-County Place,Rosedale CDP,01-01-2010,2010,January,N,Final,7900,7000,900,0.116
Sub-County Place,Rosemead city,01-01-2010,2010,January,N,Final,25200,21500,3800,0.149
Sub-County Place,Rosemont CDP,01-01-2010,2010,January,N,Final,12100,10300,1700,0.145
Sub-County Place,Roseville city,01-01-2010,2010,January,N,Final,61700,54400,7300,0.118
Sub-County Place,Rossmoor CDP,01-01-2010,2010,January,N,Final,4900,4600,300,0.063
Sub-County Place,Round Valley CDP,01-01-2010,2010,January,N,Final,200,160,40,0.201
Sub-County Place,Rowland Heights CDP,01-01-2010,2010,January,N,Final,25000,22700,2300,0.091
Sub-County Place,Running Springs CDP,01-01-2010,2010,January,N,Final,2700,2400,300,0.095
Sub-County Place,Sacramento city,01-01-2010,2010,January,N,Final,229100,196900,32100,0.14
Sub-County Place,St. Helena city,01-01-2010,2010,January,N,Final,2700,2500,200,0.077
Sub-County Place,Salida CDP,01-01-2010,2010,January,N,Final,7300,6300,1100,0.146
Sub-County Place,Salinas city,01-01-2010,2010,January,N,Final,74200,60100,14100,0.19
Sub-County Place,San Andreas CDP,01-01-2010,2010,January,N,Final,1210,980,230,0.188
Sub-County Place,San Anselmo town,01-01-2010,2010,January,N,Final,6500,6000,500,0.082
Sub-County Place,San Antonio Heights CDP,01-01-2010,2010,January,N,Final,1800,1600,200,0.109
Sub-County Place,San Ardo CDP,01-01-2010,2010,January,N,Final,400,300,100,0.26
Sub-County Place,San Bernardino city,01-01-2010,2010,January,N,Final,83200,68500,14700,0.177
Sub-County Place,San Bruno city,01-01-2010,2010,January,N,Final,23500,21400,2100,0.089
Sub-County Place,San Buenaventura (Ventura) city,01-01-2010,2010,January,N,Final,56800,50000,6700,0.118
Sub-County Place,San Carlos city,01-01-2010,2010,January,N,Final,15200,13900,1400,0.09
Sub-County Place,San Clemente city,01-01-2010,2010,January,N,Final,30600,27900,2700,0.088
Sub-County Place,Sand City city,01-01-2010,2010,January,N,Final,200,100,100,0.33
Sub-County Place,San Diego city,01-01-2010,2010,January,N,Final,668600,595400,73300,0.11
Sub-County Place,San Dimas city,01-01-2010,2010,January,N,Final,16900,15200,1800,0.104
Sub-County Place,San Fernando city,01-01-2010,2010,January,N,Final,11500,9700,1700,0.152
Sub-County Place,San Francisco city,01-01-2010,2010,January,N,Final,482800,435900,46800,0.097
Sub-County Place,San Gabriel city,01-01-2010,2010,January,N,Final,19900,18300,1600,0.082
Sub-County Place,Sanger city,01-01-2010,2010,January,N,Final,11600,9300,2300,0.201
Sub-County Place,San Jacinto city,01-01-2010,2010,January,N,Final,18200,14400,3800,0.208
Sub-County Place,San Joaquin city,01-01-2010,2010,January,N,Final,1200,1100,100,0.113
Sub-County Place,San Jose city,01-01-2010,2010,January,N,Final,495200,432300,62900,0.127
Sub-County Place,San Juan Bautista city,01-01-2010,2010,January,N,Final,900,800,200,0.203
Sub-County Place,San Juan Capistrano city,01-01-2010,2010,January,N,Final,16800,14900,1900,0.115
Sub-County Place,San Leandro city,01-01-2010,2010,January,N,Final,45400,39800,5600,0.124
Sub-County Place,San Lorenzo CDP,01-01-2010,2010,January,N,Final,12300,10900,1500,0.12
Sub-County Place,San Lucas CDP,01-01-2010,2010,January,N,Final,100,100,0,0.094
Sub-County Place,San Luis Obispo city,01-01-2010,2010,January,N,Final,24100,21400,2800,0.114
Sub-County Place,San Marcos city,01-01-2010,2010,January,N,Final,36700,33400,3300,0.091
Sub-County Place,San Marino city,01-01-2010,2010,January,N,Final,5500,5200,300,0.052
Sub-County Place,San Martin CDP,01-01-2010,2010,January,N,Final,3500,2800,700,0.197
Sub-County Place,San Mateo city,01-01-2010,2010,January,N,Final,55000,50200,4900,0.088
Sub-County Place,San Miguel CDP,01-01-2010,2010,January,N,Final,1300,1100,300,0.198
Sub-County Place,San Pablo city,01-01-2010,2010,January,N,Final,14200,11700,2500,0.174
Sub-County Place,San Rafael city,01-01-2010,2010,January,N,Final,30900,28100,2800,0.09
Sub-County Place,San Ramon city,01-01-2010,2010,January,N,Final,37400,34400,3000,0.08
Sub-County Place,Santa Ana city,01-01-2010,2010,January,N,Final,156400,137700,18700,0.119
Sub-County Place,Santa Barbara city,01-01-2010,2010,January,N,Final,48500,44100,4400,0.09
Sub-County Place,Santa Clara city,01-01-2010,2010,January,N,Final,60900,54600,6300,0.104
Sub-County Place,Santa Clarita city,01-01-2010,2010,January,N,Final,92700,81600,11100,0.12
Sub-County Place,Santa Cruz city,01-01-2010,2010,January,N,Final,31200,26500,4600,0.149
Sub-County Place,Santa Fe Springs city,01-01-2010,2010,January,N,Final,7300,6200,1100,0.153
Sub-County Place,Santa Maria city,01-01-2010,2010,January,N,Final,46100,39900,6200,0.133
Sub-County Place,Santa Monica city,01-01-2010,2010,January,N,Final,53600,47600,6000,0.112
Sub-County Place,Santa Paula city,01-01-2010,2010,January,N,Final,14100,12000,2100,0.149
Sub-County Place,Santa Rosa city,01-01-2010,2010,January,N,Final,83600,72600,11000,0.132
Sub-County Place,Santa Ynez CDP,01-01-2010,2010,January,N,Final,2600,2500,100,0.052
Sub-County Place,Santee city,01-01-2010,2010,January,N,Final,27600,24500,3100,0.113
Sub-County Place,Saratoga city,01-01-2010,2010,January,N,Final,13400,12300,1100,0.083
Sub-County Place,Sausalito city,01-01-2010,2010,January,N,Final,4800,4300,500,0.1
Sub-County Place,Scotts Valley city,01-01-2010,2010,January,N,Final,6100,5200,900,0.152
Sub-County Place,Seal Beach city,01-01-2010,2010,January,N,Final,9800,8900,900,0.093
Sub-County Place,Searles Valley CDP,01-01-2010,2010,January,N,Final,800,600,100,0.166
Sub-County Place,Seaside city,01-01-2010,2010,January,N,Final,17100,13900,3200,0.186
Sub-County Place,Sebastopol city,01-01-2010,2010,January,N,Final,4200,3700,400,0.103
Sub-County Place,Selma city,01-01-2010,2010,January,N,Final,11100,9100,2000,0.183
Sub-County Place,Shafter city,01-01-2010,2010,January,N,Final,6800,5800,1000,0.149
Sub-County Place,Shandon CDP,01-01-2010,2010,January,N,Final,500,400,100,0.166
Sub-County Place,Shasta Lake city,01-01-2010,2010,January,N,Final,4300,3500,800,0.177
Sub-County Place,Shaver Lake CDP,01-01-2010,2010,January,N,Final,400,300,0,0.059
Sub-County Place,Shingle Springs CDP,01-01-2010,2010,January,N,Final,2200,1900,400,0.165
Sub-County Place,Shingletown CDP,01-01-2010,2010,January,N,Final,900,700,200,0.242
Sub-County Place,Shoshone CDP,01-01-2010,2010,January,N,Final,30,10,20,0.556
Sub-County Place,Sierra Madre city,01-01-2010,2010,January,N,Final,5700,5200,500,0.089
Sub-County Place,Signal Hill city,01-01-2010,2010,January,N,Final,6000,5200,900,0.142
Sub-County Place,Simi Valley city,01-01-2010,2010,January,N,Final,68900,61700,7100,0.104
Sub-County Place,Solana Beach city,01-01-2010,2010,January,N,Final,6700,5900,700,0.107
Sub-County Place,Soledad city,01-01-2010,2010,January,N,Final,8100,6200,2000,0.242
Sub-County Place,Solvang city,01-01-2010,2010,January,N,Final,2600,2300,400,0.135
Sub-County Place,Sonoma city,01-01-2010,2010,January,N,Final,5000,4400,500,0.109
Sub-County Place,Sonora city,01-01-2010,2010,January,N,Final,2310,1950,360,0.155
Sub-County Place,Soquel CDP,01-01-2010,2010,January,N,Final,4700,4200,500,0.115
Sub-County Place,Soulsbyville CDP,01-01-2010,2010,January,N,Final,1070,910,160,0.152
Sub-County Place,South Dos Palos CDP,01-01-2010,2010,January,N,Final,900,700,200,0.246
Sub-County Place,South El Monte city,01-01-2010,2010,January,N,Final,8500,7900,600,0.071
Sub-County Place,South Gate city,01-01-2010,2010,January,N,Final,43800,36500,7300,0.167
Sub-County Place,South Lake Tahoe city,01-01-2010,2010,January,N,Final,12100,10300,1700,0.144
Sub-County Place,South Oroville CDP,01-01-2010,2010,January,N,Final,2400,1800,700,0.269
Sub-County Place,South Pasadena city,01-01-2010,2010,January,N,Final,14200,12900,1300,0.094
Sub-County Place,South San Francisco city,01-01-2010,2010,January,N,Final,34300,30900,3300,0.097
Sub-County Place,South San Gabriel CDP,01-01-2010,2010,January,N,Final,3900,3400,500,0.125
Sub-County Place,South San Jose Hills CDP,01-01-2010,2010,January,N,Final,9200,8400,800,0.084
Sub-County Place,South Taft CDP,01-01-2010,2010,January,N,Final,700,600,100,0.077
Sub-County Place,South Whittier CDP,01-01-2010,2010,January,N,Final,27800,24500,3300,0.12
Sub-County Place,Spreckels CDP,01-01-2010,2010,January,N,Final,300,300,0,0
Sub-County Place,Spring Garden CDP,01-01-2010,2010,January,N,Final,0,0,0,0
Sub-County Place,Spring Valley CDP,01-01-2010,2010,January,N,Final,14400,12600,1800,0.127
Sub-County Place,Springville CDP,01-01-2010,2010,January,N,Final,500,400,100,0.241
Sub-County Place,Squaw Valley CDP,01-01-2010,2010,January,N,Final,1200,900,300,0.277
Sub-County Place,Squirrel Mountain Valley CDP,01-01-2010,2010,January,N,Final,300,300,0,0
Sub-County Place,Stallion Springs CDP,01-01-2010,2010,January,N,Final,1100,1000,100,0.101
Sub-County Place,Stanton city,01-01-2010,2010,January,N,Final,18900,16300,2600,0.136
Sub-County Place,Stockton city,01-01-2010,2010,January,N,Final,128700,104300,24400,0.189
Sub-County Place,Stratford CDP,01-01-2010,2010,January,N,Final,600,400,100,0.231
Sub-County Place,Strathmore CDP,01-01-2010,2010,January,N,Final,1600,1000,600,0.381
Sub-County Place,Suisun City city,01-01-2010,2010,January,N,Final,14000,12400,1700,0.118
Sub-County Place,Summerland CDP,01-01-2010,2010,January,N,Final,700,600,100,0.074
Sub-County Place,Sunnyside Tahoe City CDP,01-01-2010,2010,January,N,Final,1100,900,200,0.17
Sub-County Place,Sunnyvale city,01-01-2010,2010,January,N,Final,76000,68200,7900,0.104
Sub-County Place,Sunol CDP,01-01-2010,2010,January,N,Final,400,400,0,0.027
Sub-County Place,Susanville city,01-01-2010,2010,January,N,Final,5420,4330,1090,0.201
Sub-County Place,Sutter CDP,01-01-2010,2010,January,N,Final,1500,1300,200,0.143
Sub-County Place,Sutter Creek city,01-01-2010,2010,January,N,Final,1130,1020,110,0.093
Sub-County Place,Taft city,01-01-2010,2010,January,N,Final,3000,2600,300,0.115
Sub-County Place,Taft Heights CDP,01-01-2010,2010,January,N,Final,1000,800,200,0.189
Sub-County Place,Taft Mosswood CDP,01-01-2010,2010,January,N,Final,600,400,100,0.24
Sub-County Place,Tahoe Vista CDP,01-01-2010,2010,January,N,Final,900,900,0,0.037
Sub-County Place,Tamalpais Homestead Valley CDP,01-01-2010,2010,January,N,Final,5800,5500,400,0.062
Sub-County Place,Tara Hills CDP,01-01-2010,2010,January,N,Final,2400,1900,500,0.195
Sub-County Place,Taylorsville CDP,01-01-2010,2010,January,N,Final,90,90,0,0
Sub-County Place,Tecopa CDP,01-01-2010,2010,January,N,Final,30,30,0,0
Sub-County Place,Tehachapi city,01-01-2010,2010,January,N,Final,4200,3600,600,0.134
Sub-County Place,Tehama city,01-01-2010,2010,January,N,Final,160,100,50,0.342
Sub-County Place,Temecula city,01-01-2010,2010,January,N,Final,46500,41500,5000,0.107
Sub-County Place,Temple City city,01-01-2010,2010,January,N,Final,17100,15600,1500,0.087
Sub-County Place,Templeton CDP,01-01-2010,2010,January,N,Final,4200,3900,300,0.071
Sub-County Place,Terra Bella CDP,01-01-2010,2010,January,N,Final,1900,1500,400,0.204
Sub-County Place,Thermalito CDP,01-01-2010,2010,January,N,Final,2400,1900,500,0.196
Sub-County Place,Thousand Oaks city,01-01-2010,2010,January,N,Final,67200,59500,7700,0.114
Sub-County Place,Thousand Palms CDP,01-01-2010,2010,January,N,Final,3000,2700,300,0.108
Sub-County Place,Three Rivers CDP,01-01-2010,2010,January,N,Final,1000,900,0,0.042
Sub-County Place,Tipton CDP,01-01-2010,2010,January,N,Final,1000,800,100,0.139
Sub-County Place,Tobin CDP,01-01-2010,2010,January,N,Final,0,0,0,0
Sub-County Place,Tomales CDP,01-01-2010,2010,January,N,Final,200,200,0,0.088
Sub-County Place,Toro Canyon CDP,01-01-2010,2010,January,N,Final,700,600,100,0.119
Sub-County Place,Torrance city,01-01-2010,2010,January,N,Final,74700,67800,6900,0.093
Sub-County Place,Tracy city,01-01-2010,2010,January,N,Final,40900,34800,6200,0.151
Sub-County Place,Tranquillity CDP,01-01-2010,2010,January,N,Final,300,300,0,0
Sub-County Place,Traver CDP,01-01-2010,2010,January,N,Final,600,500,100,0.17
Sub-County Place,Trinidad city,01-01-2010,2010,January,N,Final,200,200,0,0.073
Sub-County Place,Truckee town,01-01-2010,2010,January,N,Final,10200,8960,1240,0.122
Sub-County Place,Tulare city,01-01-2010,2010,January,N,Final,27100,22700,4400,0.164
Sub-County Place,Tuolumne City CDP,01-01-2010,2010,January,N,Final,990,630,360,0.364
Sub-County Place,Tupman CDP,01-01-2010,2010,January,N,Final,100,100,0,0.072
Sub-County Place,Turlock city,01-01-2010,2010,January,N,Final,33100,27600,5500,0.167
Sub-County Place,Tustin city,01-01-2010,2010,January,N,Final,40000,36100,3900,0.098
Sub-County Place,Twain CDP,01-01-2010,2010,January,N,Final,10,10,0,0
Sub-County Place,Twain Harte CDP,01-01-2010,2010,January,N,Final,980,830,150,0.157
Sub-County Place,Twentynine Palms city,01-01-2010,2010,January,N,Final,6700,5500,1200,0.179
Sub-County Place,Twin Lakes CDP,01-01-2010,2010,January,N,Final,3000,2400,600,0.191
Sub-County Place,Ukiah city,01-01-2010,2010,January,N,Final,7360,5970,1400,0.19
Sub-County Place,Union City city,01-01-2010,2010,January,N,Final,34800,31200,3700,0.105
Sub-County Place,Upland city,01-01-2010,2010,January,N,Final,36100,32200,3900,0.107
Sub-County Place,Upper Lake CDP,01-01-2010,2010,January,N,Final,400,340,70,0.166
Sub-County Place,Vacaville city,01-01-2010,2010,January,N,Final,43500,38700,4700,0.109
Sub-County Place,Valinda CDP,01-01-2010,2010,January,N,Final,10200,9200,1000,0.097
Sub-County Place,Vallejo city,01-01-2010,2010,January,N,Final,59200,48700,10500,0.178
Sub-County Place,Valle Vista CDP,01-01-2010,2010,January,N,Final,5600,4700,900,0.161
Sub-County Place,Valley Acres CDP,01-01-2010,2010,January,N,Final,200,200,0,0
Sub-County Place,Valley Center CDP,01-01-2010,2010,January,N,Final,4800,4200,600,0.117
Sub-County Place,Valley Ranch CDP,01-01-2010,2010,January,N,Final,90,90,0,0
Sub-County Place,Valley Springs CDP,01-01-2010,2010,January,N,Final,1840,1500,350,0.187
Sub-County Place,Val Verde CDP,01-01-2010,2010,January,N,Final,1300,900,300,0.25
Sub-County Place,Vandenberg AFB CDP,01-01-2010,2010,January,N,Final,900,800,100,0.128
Sub-County Place,Vandenberg Village CDP,01-01-2010,2010,January,N,Final,2900,2800,100,0.048
Sub-County Place,Vernon city,01-01-2010,2010,January,N,Final,100,100,0,0.063
Sub-County Place,Victorville city,01-01-2010,2010,January,N,Final,42700,36200,6500,0.151
Sub-County Place,View Park Windsor Hills CDP,01-01-2010,2010,January,N,Final,5800,4900,800,0.142
Sub-County Place,Villa Park city,01-01-2010,2010,January,N,Final,2900,2600,300,0.095
Sub-County Place,Vine Hill CDP,01-01-2010,2010,January,N,Final,2000,1700,300,0.159
Sub-County Place,Vineyard CDP,01-01-2010,2010,January,N,Final,12500,11600,900,0.073
Sub-County Place,Visalia city,01-01-2010,2010,January,N,Final,60500,51000,9500,0.157
Sub-County Place,Vista city,01-01-2010,2010,January,N,Final,42000,37600,4300,0.103
Sub-County Place,Walnut city,01-01-2010,2010,January,N,Final,14900,13500,1400,0.095
Sub-County Place,Walnut Creek city,01-01-2010,2010,January,N,Final,31400,28800,2600,0.082
Sub-County Place,Walnut Grove CDP,01-01-2010,2010,January,N,Final,600,500,100,0.16
Sub-County Place,Walnut Park CDP,01-01-2010,2010,January,N,Final,7100,5800,1200,0.173
Sub-County Place,Wasco city,01-01-2010,2010,January,N,Final,8300,6500,1800,0.222
Sub-County Place,Waterford city,01-01-2010,2010,January,N,Final,4100,3200,900,0.218
Sub-County Place,Watsonville city,01-01-2010,2010,January,N,Final,24900,19700,5100,0.207
Sub-County Place,Weaverville CDP,01-01-2010,2010,January,N,Final,1660,1480,180,0.108
Sub-County Place,Weed city,01-01-2010,2010,January,N,Final,1460,1160,300,0.205
Sub-County Place,Weedpatch CDP,01-01-2010,2010,January,N,Final,1200,800,400,0.299
Sub-County Place,Weldon CDP,01-01-2010,2010,January,N,Final,700,500,100,0.18
Sub-County Place,West Athens CDP,01-01-2010,2010,January,N,Final,3900,3300,600,0.142
Sub-County Place,West Bishop CDP,01-01-2010,2010,January,N,Final,1410,1350,60,0.045
Sub-County Place,West Carson CDP,01-01-2010,2010,January,N,Final,11300,9700,1500,0.136
Sub-County Place,West Covina city,01-01-2010,2010,January,N,Final,53600,45200,8400,0.157
Sub-County Place,West Hollywood city,01-01-2010,2010,January,N,Final,24300,21700,2700,0.109
Sub-County Place,Westlake Village city,01-01-2010,2010,January,N,Final,4100,3600,500,0.119
Sub-County Place,West Menlo Park CDP,01-01-2010,2010,January,N,Final,1600,1500,100,0.066
Sub-County Place,Westminster city,01-01-2010,2010,January,N,Final,42800,36800,6000,0.141
Sub-County Place,West Modesto CDP,01-01-2010,2010,January,N,Final,2600,1700,900,0.33
Sub-County Place,Westmont CDP,01-01-2010,2010,January,N,Final,13300,10800,2500,0.189
